path,contempt,happiness,neutral,fear,sadness,disgust,surprise,anger,audio
uploads/11_3.webm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739301204681396
uploads/video_20181103215804.webm,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9739301204681396
uploads/video_20181103215913.webm,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9739301204681396
uploads/video_20181103220246.webm,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9739301204681396
uploads/video_20181103222006.webm,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9739301204681396
uploads/video_20181103225647.webm,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9606861472129822
uploads/video_20181103231134.webm,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9651138782501221
uploads/video_20181103225328.webm,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410067796707152
uploads/video_20181104003548.webm,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9531455039978028
uploads/video_20181104003638.webm,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0
uploads/video_20181104003743.webm,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.054692745208740234
uploads/video_20181104005806.webm,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2553973197937012
uploads/video_20181104010537.webm,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9531455039978028
uploads/video_20181104010849.webm,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
uploads/video_20181104012625.webm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739308357238771
uploads/video_20181104012840.webm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uploads/video_20181104013053.webm,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8002963662147522
uploads/video_20181104013201.webm,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5
uploads/video_20181104013240.webm,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2587758004665375
uploads/video_20181104013304.webm,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uploads/video_20181104013550.webm,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uploads/video_20181104015426.webm,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877678632736206
